503,412
502,413
495,413
494,414
490,414
489,415
486,415
485,416
483,416
482,417
480,417
479,418
477,418
476,419
475,419
474,420
472,420
471,421
470,421
469,422
468,422
467,423
466,423
465,424
464,424
463,425
462,425
460,427
459,427
458,428
457,428
454,431
453,431
450,434
449,434
434,449
434,450
431,453
431,454
428,457
428,458
427,459
427,460
425,462
425,463
424,464
424,465
423,466
423,467
422,468
422,469
421,470
421,471
420,472
420,474
419,475
419,476
418,477
418,479
417,480
417,482
416,483
416,485
415,486
415,489
414,490
414,494
413,495
413,502
412,503
412,521
413,522
413,529
414,530
414,534
415,535
415,538
416,539
416,541
417,542
417,544
418,545
418,547
419,548
419,549
420,550
420,552
421,553
421,554
422,555
422,556
423,557
423,558
424,559
424,560
425,561
425,562
427,564
427,565
428,566
428,567
431,570
431,571
434,574
434,575
449,590
450,590
453,593
454,593
457,596
458,596
459,597
460,597
462,599
463,599
464,600
465,600
466,601
467,601
468,602
469,602
470,603
471,603
472,604
474,604
475,605
476,605
477,606
479,606
480,607
482,607
483,608
485,608
486,609
489,609
490,610
494,610
495,611
502,611
503,612
521,612
522,611
529,611
530,610
534,610
535,609
538,609
539,608
541,608
542,607
544,607
545,606
547,606
548,605
549,605
550,604
552,604
553,603
554,603
555,602
556,602
557,601
558,601
559,600
560,600
561,599
562,599
564,597
565,597
566,596
567,596
570,593
571,593
574,590
575,590
590,575
590,574
593,571
593,570
596,567
596,566
597,565
597,564
599,562
599,561
600,560
600,559
601,558
601,557
602,556
602,555
603,554
603,553
604,552
604,550
605,549
605,548
606,547
606,545
607,544
607,542
608,541
608,539
609,538
609,535
610,534
610,530
611,529
611,522
612,521
612,503
611,502
611,495
610,494
610,490
609,489
609,486
608,485
608,483
607,482
607,480
606,479
606,477
605,476
605,475
604,474
604,472
603,471
603,470
602,469
602,468
601,467
601,466
600,465
600,464
599,463
599,462
597,460
597,459
596,458
596,457
593,454
593,453
590,450
590,449
575,434
574,434
571,431
570,431
567,428
566,428
565,427
564,427
562,425
561,425
560,424
559,424
558,423
557,423
556,422
555,422
554,421
553,421
552,420
550,420
549,419
548,419
547,418
545,418
544,417
542,417
541,416
539,416
538,415
535,415
534,414
530,414
529,413
522,413
521,412

